Number of Bills: 2804
74 	SB 	Nelson 	Relating to the provision of certain behavioral health services to children, adolescents, and their families under a contract with a managed care organization. 	03/20/2017 	S 	Considered in public hearing 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB74
75 	SB 	Nelson 	Relating to the requirement for parental consent for a minor to join a labor union. 	03/14/2017 	S 	Committee report printed and distributed: Mar 14 2017 12:13PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB75
76 	SB 	Nelson 	Relating to the authority of general-law municipalities to restrict sex offenders from child safety zones in the municipality. 	01/24/2017 	S 	Referred to Criminal Justice 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB76
77 	SB 	Nelson 	Relating to involuntary termination of parental rights based on sexual assault of the child's other parent and the child support obligations of the parent whose rights were terminated. 	03/14/2017 	S 	Committee report printed and distributed: Mar 14 2017  3:12PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB77
78 	SB 	Nelson 	Relating to the disposition of certain state surplus or salvage data processing equipment. 	03/14/2017 	S 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB78
79 	SB 	Nelson 	Relating to the production of public information available on a publicly accessible website. 	03/15/2017 	S 	Committee report printed and distributed: Mar 15 2017  3:14PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB79
80 	SB 	Nelson 	Relating to certain required reports prepared by state agencies and other governmental entities. 	03/20/2017 	S 	Committee report printed and distributed: Mar 20 2017  2:09PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB80
81 	SB 	Nelson 	Relating to the operations of the Cancer Prevention and Research Institute of Texas. 	01/24/2017 	S 	Referred to Health &amp; Human Services 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB81
82 	SB 	Nelson 	Relating to prohibiting the temporary closure of segments of the state highway system on days that certain scheduled events are being held. 	03/22/2017 	S 	Scheduled for public hearing on  . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB82
83 	SB 	Hall 	Relating to protection of energy critical infrastructure from electromagnetic, geomagnetic, terrorist, and cyber-attack threats. 	01/24/2017 	S 	Referred to Business &amp; Commerce 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB83
84 	SB 	Hall 	Relating to a pilot project for financing certain Texas Department of Transportation projects. 	02/06/2017 	S 	Referred to Finance 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB84
85 	SB 	Hall 	Relating to the verification of employment authorization by state contractors and state grant recipients, including the use of the federal E-verify program, and to authorization for the suspension of certain licenses held by private employers for the knowing employment of persons not lawfully present in this state; authorizing a fee. 	01/24/2017 	S 	Referred to Business &amp; Commerce 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB85
86 	SB 	Hall 	Relating to the liability of a property owner who allows handguns to be carried on the owner's property. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB86
87 	SB 	Hall 	Relating to registration of a motor vehicle alleged to have been involved in a violation detected by a photographic traffic signal enforcement system. 	03/21/2017 	S 	Placed on intent calendar 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB87
88 	SB 	Hall 	Relating to the use of photographic traffic signal enforcement systems. 	03/21/2017 	S 	Placed on intent calendar 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB88
